<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
04.02.2019,10:15:00,169.783,170.440,169.360,170.420,2379853,167.366,168.027,168.968,0.40,0.02,0.38,0.00
04.02.2019,10:30:00,170.410,170.505,169.750,170.000,1561729,167.561,168.422,169.192,0.55,0.13,0.42,0.00
04.02.2019,10:45:00,170.000,170.400,169.970,170.020,1019135,167.743,168.741,169.290,0.66,0.24,0.43,0.00
04.02.2019,11:00:00,170.040,170.700,170.040,170.230,1415817,167.928,169.039,169.416,0.76,0.34,0.42,0.00
04.02.2019,11:15:00,170.250,170.790,170.060,170.702,1190359,168.133,169.372,169.519,0.86,0.44,0.42,0.00
04.02.2019,11:30:00,170.700,170.960,170.570,170.690,866832,168.322,169.635,169.600,0.93,0.54,0.39,0.00
04.02.2019,11:45:00,170.690,171.060,170.605,170.820,1000722,168.507,169.872,169.686,0.99,0.63,0.36,0.00
04.02.2019,12:00:00,170.800,171.370,170.770,171.070,1007993,168.697,170.112,169.775,1.04,0.71,0.33,0.00
04.02.2019,12:15:00,171.090,171.180,170.940,171.071,708403,168.873,170.304,169.834,1.07,0.79,0.29,0.00
04.02.2019,12:30:00,171.080,171.090,170.570,170.690,698163,169.008,170.381,169.878,1.05,0.84,0.21,0.00
04.02.2019,12:45:00,170.670,170.930,170.570,170.930,513038,169.150,170.491,169.906,1.04,0.88,0.16,0.00
04.02.2019,13:00:00,170.920,170.950,170.750,170.860,396318,169.277,170.565,169.928,1.02,0.91,0.11,0.00
04.02.2019,13:15:00,170.860,171.100,170.850,171.090,520237,169.411,170.670,170.975,1.01,0.93,0.08,0.00
04.02.2019,13:30:00,171.090,171.140,170.815,170.860,460596,169.518,170.708,170.976,0.97,0.94,0.03,0.00
04.02.2019,13:45:00,170.860,171.400,170.850,171.260,615981,169.647,170.818,171.021,0.96,0.94,0.02,0.00
04.02.2019,14:00:00,171.265,171.530,171.260,171.450,561697,169.781,170.945,171.113,0.95,0.94,0.01,0.00
04.02.2019,14:15:00,171.480,171.655,171.450,171.560,439159,169.913,171.068,171.536,0.95,0.94,0.01,0.00
04.02.2019,14:30:00,171.570,171.585,171.230,171.250,451884,170.012,171.104,171.472,0.91,0.94,-0.03,0.00
04.02.2019,14:45:00,171.250,171.330,171.090,171.170,487159,170.098,171.117,171.379,0.86,0.92,-0.06,0.00
04.02.2019,15:00:00,171.168,171.380,170.950,171.241,527811,170.182,171.142,171.325,0.82,0.90,-0.08,0.00
04.02.2019,15:15:00,171.240,171.350,171.000,171.130,526480,170.252,171.140,171.294,0.77,0.88,-0.11,0.00
04.02.2019,15:30:00,171.130,171.259,171.020,171.027,476213,170.310,171.117,171.264,0.71,0.84,-0.13,0.00
04.02.2019,15:45:00,171.020,171.085,170.726,170.920,970738,170.355,171.078,171.182,0.65,0.80,-0.15,0.00
04.02.2019,16:00:00,170.910,171.270,170.760,171.270,1577276,170.423,171.116,171.145,0.62,0.77,-0.14,0.00
05.02.2019,09:45:00,172.860,174.480,172.350,174.321,3850630,170.712,171.757,173.503,0.84,0.78,0.06,0.00
05.02.2019,10:00:00,174.360,174.450,174.010,174.205,1770414,170.970,172.247,173.740,0.99,0.82,0.16,0.00
05.02.2019,10:15:00,174.212,174.300,173.780,173.870,1662920,171.185,172.571,173.809,1.07,0.87,0.20,0.00
05.02.2019,10:30:00,173.860,174.130,173.600,173.790,1284869,171.378,172.815,173.814,1.11,0.92,0.19,0.00
05.02.2019,10:45:00,173.780,174.805,173.780,174.801,1259153,171.632,173.212,173.875,1.21,0.98,0.23,0.00
05.02.2019,11:00:00,174.800,175.000,174.654,174.813,1292910,171.867,173.532,173.985,1.28,1.04,0.24,0.00
05.02.2019,11:15:00,174.820,175.080,174.410,174.520,1232064,172.064,173.730,174.057,1.30,1.09,0.20,0.00
05.02.2019,11:30:00,174.510,174.760,174.230,174.406,842256,172.237,173.865,174.084,1.28,1.13,0.15,0.00
05.02.2019,11:45:00,174.404,174.640,174.015,174.490,1212057,172.404,173.990,174.109,1.27,1.16,0.11,0.00
05.02.2019,12:00:00,174.480,174.500,174.100,174.411,778273,172.553,174.074,174.123,1.23,1.17,0.06,0.00
05.02.2019,12:15:00,174.430,174.440,173.880,174.190,688464,172.674,174.097,174.128,1.17,1.17,0.00,0.00
