<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
15.02.2018,12:45:00,246.860,247.701,246.700,246.790,360115,243.561,245.901,245.668,1.94,1.99,-0.05,0.00
15.02.2018,13:00:00,246.750,247.120,246.270,246.810,241963,243.801,246.083,245.694,1.90,1.97,-0.07,0.00
15.02.2018,13:15:00,246.850,247.570,246.850,247.028,321767,244.040,246.272,247.075,1.87,1.95,-0.08,0.00
15.02.2018,13:30:00,247.050,247.500,246.520,246.640,266076,244.233,246.346,247.008,1.79,1.92,-0.13,0.00
15.02.2018,13:45:00,246.650,246.740,245.330,245.530,398080,244.329,246.182,246.626,1.62,1.86,-0.24,0.00
15.02.2018,14:00:00,245.520,246.290,245.300,245.750,287383,244.434,246.096,246.421,1.48,1.78,-0.30,0.00
15.02.2018,14:15:00,245.860,246.060,245.460,245.719,200070,244.529,246.021,245.775,1.36,1.70,-0.34,0.00
15.02.2018,14:30:00,245.750,246.100,245.550,245.695,193964,244.616,245.955,245.774,1.24,1.61,-0.37,0.00
15.02.2018,14:45:00,245.670,246.430,245.325,246.045,280586,244.722,245.973,245.813,1.16,1.52,-0.35,0.00
15.02.2018,15:00:00,246.039,246.297,245.230,245.270,284660,244.762,245.833,245.782,1.03,1.42,-0.39,0.00
15.02.2018,15:15:00,245.270,245.840,244.850,245.390,485387,244.809,245.744,245.633,0.92,1.32,-0.40,0.00
15.02.2018,15:30:00,245.440,245.875,245.200,245.532,433705,244.862,245.702,245.605,0.84,1.22,-0.39,0.00
15.02.2018,15:45:00,245.552,245.760,245.050,245.297,352564,244.895,245.621,245.575,0.74,1.13,-0.38,0.00
15.02.2018,16:00:00,245.230,246.500,245.230,246.500,741650,245.013,245.797,245.647,0.76,1.05,-0.30,0.00
16.02.2018,09:45:00,245.680,250.000,245.350,248.421,2482565,245.266,246.321,247.363,0.91,1.02,-0.11,0.00
16.02.2018,10:00:00,248.428,249.770,248.000,248.050,939486,245.472,246.667,247.692,0.99,1.02,-0.02,0.00
16.02.2018,10:15:00,248.200,248.800,246.560,247.600,923238,245.630,246.854,247.713,1.01,1.02,-0.01,0.00
16.02.2018,10:30:00,247.700,249.040,247.580,249.000,623868,245.879,247.283,247.790,1.12,1.04,0.09,0.00
16.02.2018,10:45:00,249.039,249.080,248.250,248.470,428571,246.071,247.520,247.863,1.16,1.06,0.10,0.00
16.02.2018,11:00:00,248.434,248.780,247.530,247.596,436561,246.184,247.536,247.880,1.10,1.07,0.03,0.00
