<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
16.04.2020,11:30:00,742.32,759.45,742.25,755.71,968488,729.71,735.87,729.50,4.22,1.94,2.28,0.00
16.04.2020,11:45:00,755.71,757.78,748.50,751.94,783297,731.36,739.08,732.21,5.34,2.62,2.72,0.00
16.04.2020,12:00:00,751.71,753.00,745.03,751.80,496421,732.87,741.63,733.42,6.15,3.33,2.82,0.00
16.04.2020,12:15:00,751.68,753.39,741.56,742.38,539760,733.58,741.78,734.36,5.96,3.85,2.11,0.00
16.04.2020,12:30:00,742.59,742.59,735.27,740.99,579718,734.12,741.62,734.77,5.64,4.21,1.43,0.00
16.04.2020,12:45:00,740.80,740.87,732.02,736.92,477036,734.33,740.68,734.92,4.99,4.37,0.63,0.00
16.04.2020,13:00:00,737.17,738.49,734.55,737.95,303131,734.60,740.13,734.99,4.51,4.40,0.12,0.00
16.04.2020,13:15:00,738.09,744.16,737.52,742.50,445283,735.19,740.61,740.57,4.45,4.41,0.04,0.00
16.04.2020,13:30:00,742.47,743.12,737.02,740.59,215927,735.59,740.60,740.64,4.20,4.36,-0.17,0.00
16.04.2020,13:45:00,740.34,742.82,738.37,741.89,217002,736.05,740.86,740.70,4.05,4.30,-0.25,0.00
16.04.2020,14:00:00,741.78,742.00,733.50,735.33,292997,736.00,739.75,740.06,3.37,4.12,-0.74,0.00
16.04.2020,14:15:00,735.11,737.87,733.00,736.60,280622,736.04,739.12,735.64,2.90,3.87,-0.97,0.00
16.04.2020,14:30:00,736.44,741.90,736.44,740.68,284890,736.39,739.43,737.27,2.82,3.66,-0.84,0.00
16.04.2020,14:45:00,740.56,746.83,740.09,743.32,407267,736.90,740.21,739.54,2.94,3.52,-0.58,0.00
16.04.2020,15:00:00,743.22,744.22,738.13,743.65,255708,737.40,740.90,740.12,3.03,3.42,-0.39,0.00
